,text,label
0,Did Miley Cyrus and Liam Hemsworth secretly get married?,0
1,Paris Jackson & Cara Delevingne Enjoy Night Out In Matching Outfits: They Have ‘Amazing Chemistry’,0
2,Celebrities Join Tax March in Protest of Donald Trump,0
3,Cindy Crawford's daughter Kaia Gerber wears a wig after dining with Harry Styles,0
4,Full List of 2018 Oscar Nominations – Variety,0
5,Here's What Really Happened When JFK Jr. Met Princess Diana,0
6,Biggest celebrity scandals of 2016,0
7,Caitlyn Jenner Addresses Rumored Romance With Sophia Hutchins,0
8,Taylor Swift Reportedly Reacts To Tom Hiddleston’s Golden Globes Win,0
9,"For The Love Of God, Why Can't Anyone Write Kate McKinnon A Good Movie Role?",0
10,"Miley Cyrus, Liam Hemsworth Did NOT Get Married On Tybee Island, Despite Report",0
11,Miley Cyrus Claims ‘Satan Is A Nice Guy; He’s Misunderstood’,0
12,Selena Gomez Had The Perfect Response To News Of Justin Bieber’s Engagement,0
13,Critics' Choice Awards 2018 Winners: The Complete List,0
14,"Jennifer Aniston, Justin Theroux Not Starting Dog Fostering And Adoption Business",0
15,"Angelina Jolie Can’t Get Over Heartbreak Of Losing Brad Pitt — Real Reason For Fury, Says Source",0
16,He’s Hired! Ben Affleck Enlists Best Friend Matt Damon To Be His Life Coach,0
17,Full statement: John McCain to vote no on Graham-Cassidy health care bill,0
18,Justin Bieber Despacito,0
19,Julia Roberts miracle baby at 50,0
20,Beyonce Sipping Tea Listening To Taylor Swift’s Album: Why She’s Loving The Kanye West Diss Tracks,0
21,"Blake Shelton, Gwen Stefani Talk 'Hookup' on 'The Voice'",0
22,Miranda Lambert Desperate To Meet With Blake Shelton After His Reported Split From Gwen Stefani,0
23,Pregnant Kate Middleton Hit With Cocaine Bombshell,0
24,Jen Aniston’s Split From Justin Theroux – What Brad Pitt Really Thinks About It,0
25,Emmys 2017: What the Nominees Are Saying,0
26,"Caitlyn Jenner Slams the Kardashians, Says She Didn't Trust Them to Know About Her Gender Reassignment Surgery",0
27,Chris Brown does not want Royalty to be like North West,0
28,"7 Questionable Details About Taylor Swift And Joe Alwyn's Relationship, Including Her ""Military-Like Mission"" To Keep It Under Wraps",0
29,Lopez /López (accent on people's names),0
30,Nicole Kidman and Prince Harry named sexiest redheads,0
31,Jennifer Lawrence Says ‘Mother!’ Led to Darren Aronofsky Split,0
32,Kristen Stewart is usual scowling self on night out with Robert Pattinson,0
33,Johnny Depp Settles Lawsuit Against His Former Business Managers,0
34,Halle Berry (And More) To Join Keanu Reeves In Third 'John Wick' Flick,0
35,On Air with Ryan Seacrest,0
36,Swift calls out label for being 'nervous' over pop album,0
37,Kanye West & Kim Kardashian Are Having ‘Best Sex of their Lives’: He’s So Attracted To Her,0
38,Kylie Jenner slams 'altered' photos amid pregnancy rumors,0
39,Kylie Jenner Jenner Kris Life Of Kylie,0
40,Pictures of Selena Gomez Over the Years,0
41,Katy Perry & Orlando Bloom Reportedly ‘Back On’ After ‘Robsten’ Parties Together In LA,0
42,Ben Affleck & Jennifer Garner File For Divorce Amid Reconciliation Rumors,0
43,Josh Duhamel Gushes Over Jennifer Garner After Dating Rumors: ‘She’s An Incredible Woman’,0
44,"HollywoodLife Flip-Flops On Prince Harry, Meghan Markle Engagement",0
45,Anne Hathaway Angering ‘Barbie’ Movie Producers With Demands?,0
46,Prince Charles Ordering Camilla Parker Bowles To Get Plastic Surgery To Save Marriage ,0
47,Kris Jenner ‘Impressed’ By How Travis Scott Is Stepping Up & Taking Care Of Stormi & Kylie,0
48,50 Celebrities React to Donald Trump's Immigration Order,0
49,Sean Spicer Emmys Moment: See Celebrity Reactions,0
50,"Kim Kardashian and Kanye West Not Victims of Swatting, LAPD Clarifies",0
51,"Biggest Engagement Rings Of 2017 — Cardi B, Caroline Wozniacki & More Celeb Diamond Bling",0
52,Anna Wintour Net Worth,0
53,Did Miley Cyrus get mad at Liam Hemsworth for refusing to wear his promise ring?,0
54,The Queen ‘absolutely FUMING’ over fake Prince Philip death rumours,0
55,Justin Bieber RUINS Selena Gomez Reunion? – Kendall Jenner QUITS Modeling? (Rumor Patrol) & video,0
56,Marry Me! Justin Bieber To Propose To Selena Over Christmas,0
57,Ryan Seacrest Relieved Kim Kardashian to Fill in For Kelly Ripa On Live!,0
58,Did Gwen Stefani Call Off Wedding To Blake Shelton Because Of 'Cheating'?,0
